[[[(('h', 8), '*OWDY')], [(('e', 10), 'R(A)ZE')], [(('h', 12), '(Y)IP')], [(('b', 13), 'MOV(E)')], [(('c', 6), 'GU(Y)')]], [[(('d', 11), 'FAME(D)')], [(('d', 8), 'CRIE(*)')], [(('i', 12), '(I)T'), (('j', 12), '(P)I'), (('i', 13), 'TIGHT')], [(('e', 3), 'GRAYE(R)')], [(('l', 10), 'DAS(H)')]]]

         98563816 function calls (98563657 primitive calls) in 25.613 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/1    0.000    0.000   25.613   25.613 {built-in method exec}
        1    0.000    0.000   25.613   25.613 scrabble_recover.py:1(<module>)
     21/2    0.001    0.000   25.602   12.801 scrabble_recover.py:161(get_move_set_generator)
       11    0.007    0.001   25.587    2.326 scrabble_recover.py:117(get_legal_move_set)
       11    0.001    0.000   25.414    2.310 scrabble_recover.py:72(get_all_possible_moves_set)
       11    6.847    0.622   25.412    2.310 scrabble_recover.py:10(get_combinations)
  4054555    9.746    0.000   15.831    0.000 scrabble_game.py:173(move_does_not_misalign_tiles)
 27337598    2.897    0.000    2.897    0.000 scrabble_game.py:174(<genexpr>)
 27337598    2.764    0.000    2.764    0.000 scrabble_game.py:175(<genexpr>)
 27311712    2.500    0.000    2.500    0.000 scrabble_recover.py:15(<genexpr>)
12166812/12166797    0.665    0.000    0.665    0.000 {built-in method len}
     5177    0.015    0.000    0.099    0.000 scrabble_game.py:87(move_is_legal)
      136    0.000    0.000    0.048    0.000 scrabble_board.py:58(__init__)
      136    0.033    0.000    0.048    0.000 scrabble_board.py:10(initialize_new_board_square_dict)
      122    0.004    0.000    0.047    0.000 scrabble_recover.py:89(copy_board)
     5166    0.019    0.000    0.034    0.000 scrabble_game.py:141(all_move_tiles_connected)
    10106    0.009    0.000    0.025    0.000 scrabble_game.py:197(move_is_not_out_of_bounds)
    43495    0.013    0.000    0.019    0.000 scrabble_board.py:68(__getitem__)
    47695    0.019    0.000    0.019    0.000 scrabble_game.py:215(location_is_out_of_bounds)
     5156    0.009    0.000    0.017    0.000 scrabble_recover.py:60(move_is_board_subset)
   104721    0.012    0.000    0.012    0.000 {method 'get' of 'dict' objects}
      142    0.000    0.000    0.011    0.000 scrabble_game.py:289(get_word_set)
      132    0.000    0.000    0.011    0.000 scrabble_game.py:41(score_move)
      898    0.001    0.000    0.010    0.000 scrabble_game.py:291(<genexpr>)
       11    0.000    0.000    0.010    0.001 scrabble_recover.py:106(copy_game)
      756    0.005    0.000    0.010    0.000 scrabble_game.py:267(get_word_location_set)
      604    0.001    0.000    0.010    0.000 scrabble_game.py:108(move_touches_tile)
      968    0.002    0.000    0.009    0.000 scrabble_game.py:224(location_touches_tile)
    30600    0.009    0.000    0.009    0.000 scrabble_board.py:45(__init__)
       14    0.000    0.000    0.007    0.000 scrabble_game.py:319(__init__)
     13/4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:2234(_find_and_load)
     13/4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
      968    0.002    0.000    0.006    0.000 scrabble_game.py:254(get_adjacent_location_set)
     13/4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:1186(_load_unlocked)
      9/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1122(_exec)
      9/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1465(exec_module)
