[[[(('h', 8), '*OWDY')], [(('e', 10), 'R(A)ZE')], [(('h', 12), '(Y)IP')], [(('b', 13), 'MOV(E)')], [(('c', 6), 'GU(Y)')], [(('l', 10), '(D)OTE')]], [[(('d', 11), 'FAME(D)')], [(('d', 8), 'CRIE(*)')], [(('i', 13), 'TIGHT'), (('i', 12), '(I)T'), (('j', 12), '(P)I')], [(('e', 3), 'GRAYE(R)')], [(('l', 10), 'DAS(H)')], [(('o', 8), 'OV(E)N')]]]

         292126953 function calls (292126790 primitive calls) in 77.950 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/1    0.000    0.000   77.950   77.950 {built-in method exec}
        1    0.000    0.000   77.950   77.950 scrabble_recover.py:1(<module>)
     25/2    0.001    0.000   77.937   38.968 scrabble_recover.py:161(get_move_set_generator)
       13    0.008    0.001   77.921    5.994 scrabble_recover.py:117(get_legal_move_set)
       13    0.001    0.000   77.734    5.980 scrabble_recover.py:72(get_all_possible_moves_set)
       13   21.038    1.618   77.732    5.979 scrabble_recover.py:10(get_combinations)
 11976231   29.882    0.000   48.351    0.000 scrabble_game.py:173(move_does_not_misalign_tiles)
 81283479    8.948    0.000    8.948    0.000 scrabble_game.py:174(<genexpr>)
 81283479    8.241    0.000    8.241    0.000 scrabble_game.py:175(<genexpr>)
 81255362    7.624    0.000    7.624    0.000 scrabble_recover.py:15(<genexpr>)
35932740/35932725    2.004    0.000    2.004    0.000 {built-in method len}
     5775    0.017    0.000    0.111    0.000 scrabble_game.py:87(move_is_legal)
      148    0.000    0.000    0.049    0.000 scrabble_board.py:58(__init__)
      132    0.004    0.000    0.049    0.000 scrabble_recover.py:89(copy_board)
      148    0.033    0.000    0.049    0.000 scrabble_board.py:10(initialize_new_board_square_dict)
     5762    0.021    0.000    0.037    0.000 scrabble_game.py:141(all_move_tiles_connected)
    11219    0.011    0.000    0.028    0.000 scrabble_game.py:197(move_is_not_out_of_bounds)
    52817    0.021    0.000    0.021    0.000 scrabble_game.py:215(location_is_out_of_bounds)
    48608    0.013    0.000    0.020    0.000 scrabble_board.py:68(__getitem__)
     5750    0.010    0.000    0.018    0.000 scrabble_recover.py:60(move_is_board_subset)
