[[[(('h', 8), '*OWDY')], [(('e', 10), 'R(A)ZE')], [(('h', 12), '(Y)IP')], [(('b', 13), 'MOV(E)')], [(('c', 6), 'GU(Y)')], [(('l', 10), '(D)OTE')], [(('e', 3), '(G)UILE')]], [[(('d', 11), 'FAME(D)')], [(('d', 8), 'CRIE(*)')], [(('i', 13), 'TIGHT'), (('j', 12), '(P)I'), (('i', 12), '(I)T')], [(('e', 3), 'GRAYE(R)')], [(('l', 10), 'DAS(H)')], [(('o', 8), 'OV(E)N')]]]

         556885221 function calls (556885056 primitive calls) in 143.877 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000  143.877  143.877 scrabble_recover.py:1(<module>)
     10/1    0.000    0.000  143.877  143.877 {built-in method exec}
     27/2    0.001    0.000  143.865   71.933 scrabble_recover.py:161(get_move_set_generator)
       14    0.008    0.001  143.848   10.275 scrabble_recover.py:117(get_legal_move_set)
       14    0.001    0.000  143.642   10.260 scrabble_recover.py:72(get_all_possible_moves_set)
       14   38.527    2.752  143.639   10.260 scrabble_recover.py:10(get_combinations)
 22780313   55.052    0.000   89.569    0.000 scrabble_game.py:173(move_does_not_misalign_tiles)
155116944   16.486    0.000   16.486    0.000 scrabble_game.py:174(<genexpr>)
155116944   15.658    0.000   15.658    0.000 scrabble_game.py:175(<genexpr>)
155087353   14.226    0.000   14.226    0.000 scrabble_recover.py:15(<genexpr>)
68345806/68345791    3.696    0.000    3.696    0.000 {built-in method len}
     6186    0.018    0.000    0.120    0.000 scrabble_game.py:87(move_is_legal)
      153    0.005    0.000    0.057    0.000 scrabble_recover.py:89(copy_board)
      170    0.000    0.000    0.056    0.000 scrabble_board.py:58(__init__)
      170    0.038    0.000    0.056    0.000 scrabble_board.py:10(initialize_new_board_square_dict)
     6172    0.022    0.000    0.039    0.000 scrabble_game.py:141(all_move_tiles_connected)
    11981    0.011    0.000    0.028    0.000 scrabble_game.py:197(move_is_not_out_of_bounds)
