[[[(('h', 8), '*OWDY')], [(('e', 10), 'R(A)ZE')], [(('h', 12), '(Y)IP')], [(('b', 13), 'MOV(E)')], [(('c', 6), 'GU(Y)')], [(('l', 10), '(D)OTE')], [(('e', 3), '(G)UILE')], [(('i', 2), 'B(E)ER')], [(('i', 5), '(R)IP')], [(('g', 2), 'H(I)NT')]], [[(('d', 11), 'FAME(D)')], [(('d', 8), 'CRIE(*)')], [(('i', 13), 'TIGHT'), (('i', 12), '(I)T'), (('j', 12), '(P)I')], [(('e', 3), 'GRAYE(R)')], [(('l', 10), 'DAS(H)')], [(('o', 8), 'OV(E)N')], [(('c', 4), 'JA(R)')], [(('c', 4), '(J)I(G)')], [(('b', 10), 'LOO(M)S')]]]

         4160196099 function calls (4160195902 primitive calls) in 1073.969 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/1    0.000    0.000 1073.969 1073.969 {built-in method exec}
        1    0.000    0.000 1073.969 1073.969 scrabble_recover.py:1(<module>)
     59/2    0.003    0.000 1073.949  536.975 scrabble_recover.py:161(get_move_set_generator)
       40    0.021    0.001 1073.900   26.848 scrabble_recover.py:117(get_legal_move_set)
       40    0.010    0.000 1073.416   26.835 scrabble_recover.py:72(get_all_possible_moves_set)
       40  291.364    7.284 1073.402   26.835 scrabble_recover.py:10(get_combinations)
169152248  407.860    0.000  665.953    0.000 scrabble_game.py:173(move_does_not_misalign_tiles)
1160887034  122.843    0.000  122.843    0.000 scrabble_game.py:174(<genexpr>)
1160887034  117.396    0.000  117.396    0.000 scrabble_game.py:175(<genexpr>)
1160842556  106.037    0.000  106.037    0.000 scrabble_recover.py:15(<genexpr>)
507467757/507467742   27.914    0.000   27.914    0.000 {built-in method len}
    10200    0.031    0.000    0.215    0.000 scrabble_game.py:87(move_is_legal)
      531    0.024    0.000    0.208    0.000 scrabble_recover.py:89(copy_board)
      574    0.001    0.000    0.193    0.000 scrabble_board.py:58(__init__)
      574    0.132    0.000    0.192    0.000 scrabble_board.py:10(initialize_new_board_square_dict)
    10160    0.039    0.000    0.067    0.000 scrabble_game.py:141(all_move_tiles_connected)
    19435    0.018    0.000    0.047    0.000 scrabble_game.py:197(move_is_not_out_of_bounds)
    90765    0.028    0.000    0.040    0.000 scrabble_board.py:68(__getitem__)
    91318    0.039    0.000    0.039    0.000 scrabble_game.py:215(location_is_out_of_bounds)
   349091    0.038    0.000    0.038    0.000 {method 'get' of 'dict' objects}
       40    0.001    0.000    0.037    0.001 scrabble_recover.py:106(copy_game)
     2246    0.002    0.000    0.037    0.000 scrabble_game.py:108(move_touches_tile)
   129150    0.035    0.000    0.035    0.000 scrabble_board.py:45(__init__)
      550    0.001    0.000    0.035    0.000 scrabble_game.py:41(score_move)
     3836    0.007    0.000    0.035    0.000 scrabble_game.py:224(location_touches_tile)
      569    0.002    0.000    0.033    0.000 scrabble_game.py:289(get_word_set)
     3045    0.002    0.000    0.031    0.000 scrabble_game.py:291(<genexpr>)
    10141    0.017    0.000    0.031    0.000 scrabble_recover.py:60(move_is_board_subset)
     2476    0.014    0.000    0.030    0.000 scrabble_game.py:267(get_word_location_set)
     3836    0.008    0.000    0.022    0.000 scrabble_game.py:254(get_adjacent_location_set)
       43    0.000    0.000    0.021    0.000 scrabble_game.py:319(__init__)
     13/4    0.000    0.000    0.012    0.003 <frozen importlib._bootstrap>:2234(_find_and_load)
     13/4    0.000    0.000    0.011    0.003 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
     13/4    0.000    0.000    0.011    0.003 <frozen importlib._bootstrap>:1186(_load_unlocked)
       59    0.001    0.000    0.010    0.000 scrabble_game.py:380(next_player_move)
      9/4    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:1122(_exec)
      9/4    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:1465(exec_module)
     4096    0.004    0.000    0.010    0.000 scrabble_game.py:262(<genexpr>)
     14/4    0.000    0.000    0.010    0.002 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
    25569    0.007    0.000    0.007    0.000 scrabble_board.py:36(__init__)
        1    0.000    0.000    0.006    0.006 scrabble_recover.py:197(get_move_set_notation)
    44478    0.006    0.000    0.006    0.000 scrabble_game.py:89(<genexpr>)
        1    0.000    0.000    0.005    0.005 scrabble_game.py:3(<module>)
    10200    0.004    0.000    0.004    0.000 scrabble_game.py:190(move_is_rack_size_or_less)
