[[[(('h', 8), '*OWDY')]], [[(('d', 11), 'FAME(D)')]]]

         36589 function calls (36447 primitive calls) in 0.021 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/1    0.000    0.000    0.021    0.021 {built-in method exec}
        1    0.000    0.000    0.021    0.021 scrabble_recover.py:1(<module>)
      4/2    0.000    0.000    0.012    0.006 scrabble_recover.py:160(get_move_set_generator)
        2    0.000    0.000    0.009    0.005 scrabble_recover.py:116(get_legal_move_set)
     13/4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:2234(_find_and_load)
     13/4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
       16    0.000    0.000    0.006    0.000 scrabble_board.py:58(__init__)
       16    0.004    0.000    0.006    0.000 scrabble_board.py:10(initialize_new_board_square_dict)
     13/4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:1186(_load_unlocked)
      9/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1122(_exec)
      9/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1465(exec_module)
     14/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
       11    0.000    0.000    0.004    0.000 scrabble_recover.py:88(copy_board)
        2    0.000    0.000    0.003    0.001 scrabble_recover.py:71(get_all_possible_moves_set)
        2    0.001    0.000    0.003    0.001 scrabble_recover.py:10(get_combinations)
        1    0.000    0.000    0.003    0.003 scrabble_game.py:3(<module>)
        5    0.000    0.000    0.002    0.000 scrabble_game.py:319(__init__)
        1    0.000    0.000    0.002    0.002 random.py:37(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:97(<module>)
      583    0.001    0.000    0.002    0.000 scrabble_game.py:173(move_does_not_misalign_tiles)
       80    0.000    0.000    0.002    0.000 scrabble_game.py:87(move_is_legal)
        2    0.000    0.000    0.002    0.001 scrabble_recover.py:105(copy_game)
        1    0.000    0.000    0.002    0.002 hashlib.py:53(<module>)
     3600    0.002    0.000    0.002    0.000 scrabble_board.py:45(__init__)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:534(_check_name_wrapper)
       15    0.000    0.000    0.001    0.000 scrabble_game.py:289(get_word_set)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1708(load_module)
        2    0.001    0.001    0.001    0.001 {built-in method load_dynamic}
      119    0.000    0.000    0.001    0.000 scrabble_game.py:291(<genexpr>)
       13    0.000    0.000    0.001    0.000 scrabble_game.py:41(score_move)
      104    0.001    0.000    0.001    0.000 scrabble_game.py:267(get_word_location_set)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
        1    0.000    0.000    0.001    0.001 scrabble_recover.py:196(get_move_set_notation)
        6    0.000    0.000    0.001    0.000 re.py:221(compile)
        4    0.000    0.000    0.001    0.000 scrabble_game.py:380(next_player_move)
        6    0.000    0.000    0.001    0.000 re.py:277(_compile)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1934(find_spec)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
        6    0.000    0.000    0.001    0.000 sre_compile.py:563(compile)
    15/14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2264(_handle_fromlist)
        1    0.000    0.000    0.001    0.001 {built-in method __import__}
     8422    0.001    0.000    0.001    0.000 {method 'get' of 'dict' objects}
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2016(find_spec)
        1    0.000    0.000    0.001    0.001 scrabble_recover.py:34(read_input_file)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1534(get_code)
        1    0.000    0.000    0.001    0.001 scrabble_recover.py:68(boards_are_equivalent)
        2    0.000    0.000    0.001    0.000 scrabble_board.py:74(__repr__)
       80    0.000    0.000    0.001    0.000 scrabble_game.py:141(all_move_tiles_connected)
        6    0.000    0.000    0.001    0.000 sre_parse.py:770(parse)
     1196    0.000    0.000    0.001    0.000 scrabble_board.py:68(__getitem__)
        5    0.000    0.000    0.000    0.000 scrabble_game.py:239(get_new_tile_bag)
        5    0.000    0.000    0.000    0.000 scrabble_game.py:240(<listcomp>)
     13/6    0.000    0.000    0.000    0.000 sre_parse.py:370(_parse_sub)
     15/6    0.000    0.000    0.000    0.000 sre_parse.py:448(_parse)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
        6    0.000    0.000    0.000    0.000 sre_compile.py:548(_code)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
        9    0.000    0.000    0.000    0.000 {built-in method loads}
     3034    0.000    0.000    0.000    0.000 scrabble_game.py:175(<genexpr>)
     3034    0.000    0.000    0.000    0.000 scrabble_game.py:174(<genexpr>)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:50(_path_join)
      450    0.000    0.000    0.000    0.000 {built-in method next}
      707    0.000    0.000    0.000    0.000 scrabble_game.py:215(location_is_out_of_bounds)
       43    0.000    0.000    0.000    0.000 scrabble_game.py:108(move_touches_tile)
     26/6    0.000    0.000    0.000    0.000 sre_compile.py:70(_compile)
        5    0.000    0.000    0.000    0.000 scrabble_game.py:425(_get_new_player_rack_list)
        6    0.000    0.000    0.000    0.000 {built-in method sorted}
     2745    0.000    0.000    0.000    0.000 scrabble_recover.py:15(<genexpr>)
       28    0.000    0.000    0.000    0.000 scrabble_game.py:224(location_touches_tile)
      552    0.000    0.000    0.000    0.000 scrabble_board.py:36(__init__)
        1    0.000    0.000    0.000    0.000 random.py:84(__init__)
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
        8    0.000    0.000    0.000    0.000 {built-in method __build_class__}
      452    0.000    0.000    0.000    0.000 scrabble_board.py:76(<genexpr>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1099(create)
        4    0.000    0.000    0.000    0.000 scrabble_game.py:120(move_is_sublist)
       70    0.000    0.000    0.000    0.000 scrabble_game.py:438(_draw_random_tile)
        1    0.000    0.000    0.000    0.000 {built-in method urandom}
       76    0.000    0.000    0.000    0.000 scrabble_recover.py:59(move_is_board_subset)
        8    0.000    0.000    0.000    0.000 __init__.py:448(__init__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:68(_path_stat)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:52(<listcomp>)
2558/2543    0.000    0.000    0.000    0.000 {built-in method len}
        8    0.000    0.000    0.000    0.000 __init__.py:517(update)
      170    0.000    0.000    0.000    0.000 {built-in method isinstance}
       14    0.000    0.000    0.000    0.000 sre_compile.py:227(_compile_charset)
       28    0.000    0.000    0.000    0.000 scrabble_game.py:254(get_adjacent_location_set)
       80    0.000    0.000    0.000    0.000 scrabble_game.py:197(move_is_not_out_of_bounds)
       55    0.000    0.000    0.000    0.000 {built-in method stat}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1621(get_data)
        6    0.000    0.000    0.000    0.000 sre_compile.py:444(_compile_info)
        1    0.000    0.000    0.000    0.000 scrabble_board.py:4(<module>)
        1    0.000    0.000    0.000    0.000 scrabble_recover.py:24(load_file)
       70    0.000    0.000    0.000    0.000 random.py:170(randrange)
       14    0.000    0.000    0.000    0.000 sre_compile.py:255(_optimize_charset)
        8    0.000    0.000    0.000    0.000 abc.py:178(__instancecheck__)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:261(__enter__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
      114    0.000    0.000    0.000    0.000 sre_parse.py:197(__next)
        1    0.000    0.000    0.000    0.000 config.py:1(<module>)
      7/1    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:824(cached)
       82    0.000    0.000    0.000    0.000 sre_parse.py:222(get)
        1    0.000    0.000    0.000    0.000 scrabble_board.py:35(ScrabbleTile)
        4    0.000    0.000    0.000    0.000 scrabble_recover.py:54(get_all_board_tiles)
      102    0.000    0.000    0.000    0.000 scrabble_game.py:250(<lambda>)
       43    0.000    0.000    0.000    0.000 scrabble_game.py:130(move_does_not_cover_tiles)
      512    0.000    0.000    0.000    0.000 {built-in method chr}
       27    0.000    0.000    0.000    0.000 scrabble_recover.py:55(<genexpr>)
       70    0.000    0.000    0.000    0.000 random.py:220(_randbelow)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:546(_requires_builtin_wrapper)
       28    0.000    0.000    0.000    0.000 scrabble_game.py:262(<genexpr>)
       80    0.000    0.000    0.000    0.000 scrabble_game.py:252(<lambda>)
        1    0.000    0.000    0.000    0.000 config.py:141(<dictcomp>)
      8/2    0.000    0.000    0.000    0.000 {built-in method issubclass}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(_validate_bytecode_header)
        1    0.000    0.000    0.000    0.000 {built-in method open}
    35/15    0.000    0.000    0.000    0.000 sre_parse.py:154(getwidth)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
      450    0.000    0.000    0.000    0.000 scrabble_board.py:50(__repr__)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1870(_path_importer_cache)
      130    0.000    0.000    0.000    0.000 scrabble_game.py:53(increment_letter)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
       91    0.000    0.000    0.000    0.000 sre_parse.py:144(__getitem__)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1287(load_module)
      208    0.000    0.000    0.000    0.000 scrabble_game.py:244(get_next_location_function)
      189    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      236    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1266(find_spec)
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:518(_verbose_message)
      137    0.000    0.000    0.000    0.000 {built-in method min}
        9    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      498    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:268(__exit__)
      108    0.000    0.000    0.000    0.000 scrabble_game.py:50(decrement_letter)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:739(__exit__)
      415    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
       80    0.000    0.000    0.000    0.000 scrabble_game.py:190(move_is_rack_size_or_less)
      378    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
       72    0.000    0.000    0.000    0.000 {built-in method hasattr}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:217(release)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:192(acquire)
        9    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       32    0.000    0.000    0.000    0.000 scrabble_board.py:86(<genexpr>)
        2    0.000    0.000    0.000    0.000 {built-in method init_builtin}
       16    0.000    0.000    0.000    0.000 sre_parse.py:267(_class_escape)
      289    0.000    0.000    0.000    0.000 scrabble_game.py:89(<genexpr>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1631(path_stats)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
       15    0.000    0.000    0.000    0.000 {built-in method any}
        9    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       13    0.000    0.000    0.000    0.000 scrabble_game.py:296(get_word_set_total_score)
        1    0.000    0.000    0.000    0.000 __init__.py:271(loads)
       80    0.000    0.000    0.000    0.000 sre_parse.py:216(match)
        4    0.000    0.000    0.000    0.000 sre_compile.py:406(_mk_bitmap)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:56(_path_split)
        1    0.000    0.000    0.000    0.000 decoder.py:338(decode)
       80    0.000    0.000    0.000    0.000 scrabble_game.py:88(<listcomp>)
        4    0.000    0.000    0.000    0.000 scrabble_game.py:419(cheat_create_rack_word)
       43    0.000    0.000    0.000    0.000 scrabble_game.py:183(move_does_not_stack_tiles)
       85    0.000    0.000    0.000    0.000 {built-in method max}
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:172(__init__)
       80    0.000    0.000    0.000    0.000 scrabble_game.py:143(<listcomp>)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1853(_path_hooks)
       70    0.000    0.000    0.000    0.000 {built-in method getattr}
        6    0.000    0.000    0.000    0.000 sre_parse.py:192(__init__)
       80    0.000    0.000    0.000    0.000 scrabble_game.py:142(<listcomp>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:129(_new_module)
       35    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2120(__enter__)
        1    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2061(_fill_cache)
        2    0.000    0.000    0.000    0.000 {built-in method print}
       10    0.000    0.000    0.000    0.000 {built-in method is_builtin}
       18    0.000    0.000    0.000    0.000 scrabble_game.py:232(get_rack_tile_index)
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:859(spec_from_loader)
