[[[(('h', 8), '*OWDY')], [(('e', 10), 'R(A)ZE')], [(('h', 12), '(Y)IP')], [(('b', 13), 'MOV(E)')], [(('c', 6), 'GU(Y)')], [(('l', 10), '(D)OTE')], [(('e', 3), '(G)UILE')], [(('i', 2), 'B(E)ER')], [(('i', 5), '(R)IP')], [(('g', 2), 'H(I)NT')], [(('l', 2), '(D)UNE')]], [[(('d', 11), 'FAME(D)')], [(('d', 8), 'CRIE(*)')], [(('j', 12), '(P)I'), (('i', 12), '(I)T'), (('i', 13), 'TIGHT')], [(('e', 3), 'GRAYE(R)')], [(('l', 10), 'DAS(H)')], [(('o', 8), 'OV(E)N')], [(('c', 4), 'JA(R)')], [(('c', 4), '(J)I(G)')], [(('b', 10), 'LOO(M)S')], [(('l', 2), 'DOWEL'), (('i', 5), '(RIP)E')]]]

         89935849716 function calls (89935849497 primitive calls) in 22865.681 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/1    0.000    0.000 22865.681 22865.681 {built-in method exec}
        1    0.000    0.000 22865.681 22865.681 scrabble_recover.py:1(<module>)
     81/2    0.005    0.000 22865.667 11432.834 scrabble_recover.py:160(get_move_set_generator)
       60    0.038    0.001 22865.596  381.093 scrabble_recover.py:116(get_legal_move_set)
       60    0.019    0.000 22864.733  381.079 scrabble_recover.py:71(get_all_possible_moves_set)
       60 6058.175  100.970 22864.708  381.078 scrabble_recover.py:10(get_combinations)
3260870676 8707.909    0.000 14335.199    0.000 scrabble_game.py:173(move_does_not_misalign_tiles)
25630271905 2722.637    0.000 2722.637    0.000 scrabble_game.py:174(<genexpr>)
25630271905 2564.474    0.000 2564.474    0.000 scrabble_game.py:175(<genexpr>)
25630173725 2280.188    0.000 2280.188    0.000 scrabble_recover.py:15(<genexpr>)
9782627896/9782627881  531.397    0.000  531.397    0.000 {built-in method len}
    21481    0.063    0.000    0.418    0.000 scrabble_game.py:87(move_is_legal)
      823    0.042    0.000    0.326    0.000 scrabble_recover.py:88(copy_board)
      886    0.001    0.000    0.295    0.000 scrabble_board.py:58(__init__)
      886    0.205    0.000    0.294    0.000 scrabble_board.py:10(initialize_new_board_square_dict)
    21481    0.078    0.000    0.134    0.000 scrabble_game.py:141(all_move_tiles_connected)
   182888    0.051    0.000    0.075    0.000 scrabble_board.py:68(__getitem__)
    21400    0.035    0.000    0.064    0.000 scrabble_recover.py:59(move_is_board_subset)
     3763    0.004    0.000    0.063    0.000 scrabble_game.py:108(move_touches_tile)
   581614    0.062    0.000    0.062    0.000 {method 'get' of 'dict' objects}
     6817    0.012    0.000    0.059    0.000 scrabble_game.py:224(location_touches_tile)
       60    0.001    0.000    0.054    0.001 scrabble_recover.py:105(copy_game)
      844    0.002    0.000    0.053    0.000 scrabble_game.py:41(score_move)
   199350    0.051    0.000    0.051    0.000 scrabble_board.py:45(__init__)
      865    0.002    0.000    0.049    0.000 scrabble_game.py:289(get_word_set)
    21481    0.018    0.000    0.047    0.000 scrabble_game.py:197(move_is_not_out_of_bounds)
     4623    0.003    0.000    0.047    0.000 scrabble_game.py:291(<genexpr>)
   116904    0.045    0.000    0.045    0.000 scrabble_game.py:215(location_is_out_of_bounds)
     3758    0.020    0.000    0.044    0.000 scrabble_game.py:267(get_word_location_set)
     6817    0.014    0.000    0.037    0.000 scrabble_game.py:254(get_adjacent_location_set)
       63    0.000    0.000    0.029    0.000 scrabble_game.py:319(__init__)
     7316    0.006    0.000    0.016    0.000 scrabble_game.py:262(<genexpr>)
       81    0.001    0.000    0.014    0.000 scrabble_game.py:380(next_player_move)
    44469    0.011    0.000    0.011    0.000 scrabble_board.py:36(__init__)
    98180    0.011    0.000    0.011    0.000 scrabble_game.py:89(<genexpr>)
    21481    0.007    0.000    0.009    0.000 scrabble_game.py:190(move_is_rack_size_or_less)
    21481    0.009    0.000    0.009    0.000 scrabble_game.py:142(<listcomp>)
    36463    0.008    0.000    0.008    0.000 {method 'add' of 'set' objects}
    21481    0.007    0.000    0.007    0.000 scrabble_game.py:88(<listcomp>)
    21538    0.007    0.000    0.007    0.000 {built-in method min}
    21481    0.007    0.000    0.007    0.000 scrabble_game.py:143(<listcomp>)
