[[[(('h', 8), '*OWDY')], [(('e', 10), 'R(A)ZE')]], [[(('d', 11), 'FAME(D)')]]]

         91366 function calls (91222 primitive calls) in 0.048 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/1    0.000    0.000    0.048    0.048 {built-in method exec}
        1    0.000    0.000    0.048    0.048 scrabble_recover.py:1(<module>)
      6/2    0.000    0.000    0.033    0.017 scrabble_recover.py:161(get_move_set_generator)
        3    0.000    0.000    0.029    0.010 scrabble_recover.py:117(get_legal_move_set)
        3    0.000    0.000    0.019    0.006 scrabble_recover.py:72(get_all_possible_moves_set)
        3    0.005    0.002    0.019    0.006 scrabble_recover.py:10(get_combinations)
     2742    0.008    0.000    0.012    0.000 scrabble_game.py:173(move_does_not_misalign_tiles)
     13/4    0.000    0.000    0.011    0.003 <frozen importlib._bootstrap>:2234(_find_and_load)
     13/4    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
     13/4    0.000    0.000    0.010    0.002 <frozen importlib._bootstrap>:1186(_load_unlocked)
      9/4    0.000    0.000    0.010    0.002 <frozen importlib._bootstrap>:1122(_exec)
      9/4    0.000    0.000    0.010    0.002 <frozen importlib._bootstrap>:1465(exec_module)
       23    0.000    0.000    0.009    0.000 scrabble_board.py:58(__init__)
     14/4    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
       23    0.006    0.000    0.009    0.000 scrabble_board.py:10(initialize_new_board_square_dict)
       17    0.000    0.000    0.007    0.000 scrabble_recover.py:89(copy_board)
        1    0.000    0.000    0.005    0.005 scrabble_game.py:3(<module>)
        1    0.000    0.000    0.004    0.004 random.py:37(<module>)
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
        6    0.000    0.000    0.004    0.001 scrabble_game.py:319(__init__)
      122    0.000    0.000    0.003    0.000 scrabble_game.py:87(move_is_legal)
        1    0.000    0.000    0.003    0.003 hashlib.py:53(<module>)
        4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
        3    0.000    0.000    0.003    0.001 scrabble_recover.py:106(copy_game)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:534(_check_name_wrapper)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1708(load_module)
        2    0.002    0.001    0.002    0.001 {built-in method load_dynamic}
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
    15754    0.002    0.000    0.002    0.000 scrabble_game.py:174(<genexpr>)
     5175    0.002    0.000    0.002    0.000 scrabble_board.py:45(__init__)
    15754    0.002    0.000    0.002    0.000 scrabble_game.py:175(<genexpr>)
        6    0.000    0.000    0.002    0.000 re.py:221(compile)
        6    0.000    0.000    0.002    0.000 re.py:277(_compile)
        6    0.000    0.000    0.002    0.000 sre_compile.py:563(compile)
       23    0.000    0.000    0.002    0.000 scrabble_game.py:289(get_word_set)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1934(find_spec)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
    15339    0.002    0.000    0.002    0.000 scrabble_recover.py:15(<genexpr>)
      163    0.000    0.000    0.002    0.000 scrabble_game.py:291(<genexpr>)
    15/14    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:2264(_handle_fromlist)
      140    0.001    0.000    0.002    0.000 scrabble_game.py:267(get_word_location_set)
       20    0.000    0.000    0.002    0.000 scrabble_game.py:41(score_move)
        1    0.000    0.000    0.002    0.002 {built-in method __import__}
       30    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:2016(find_spec)
