[[[(('h', 8), '*OWDY')], [(('e', 10), 'R(A)ZE')]], [[(('d', 11), 'FAME(D)')], [(('d', 8), 'CRIE(*)')]]]

         761993 function calls (761847 primitive calls) in 0.212 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/1    0.000    0.000    0.212    0.212 {built-in method exec}
        1    0.000    0.000    0.212    0.212 scrabble_recover.py:1(<module>)
      8/2    0.000    0.000    0.203    0.101 scrabble_recover.py:160(get_move_set_generator)
        4    0.001    0.000    0.197    0.049 scrabble_recover.py:116(get_legal_move_set)
        4    0.000    0.000    0.178    0.044 scrabble_recover.py:71(get_all_possible_moves_set)
        4    0.047    0.012    0.178    0.044 scrabble_recover.py:10(get_combinations)
    28490    0.068    0.000    0.112    0.000 scrabble_game.py:173(move_does_not_misalign_tiles)
   198045    0.021    0.000    0.021    0.000 scrabble_game.py:174(<genexpr>)
   198045    0.020    0.000    0.020    0.000 scrabble_game.py:175(<genexpr>)
   197205    0.018    0.000    0.018    0.000 scrabble_recover.py:15(<genexpr>)
       41    0.000    0.000    0.014    0.000 scrabble_board.py:58(__init__)
       41    0.010    0.000    0.014    0.000 scrabble_board.py:10(initialize_new_board_square_dict)
       34    0.001    0.000    0.013    0.000 scrabble_recover.py:88(copy_board)
     13/4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:2234(_find_and_load)
     13/4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
      239    0.001    0.000    0.005    0.000 scrabble_game.py:87(move_is_legal)
     13/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1186(_load_unlocked)
      9/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1122(_exec)
      9/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1465(exec_module)
     14/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
86681/86666    0.005    0.000    0.005    0.000 {built-in method len}
        4    0.000    0.000    0.003    0.001 scrabble_recover.py:105(copy_game)
        7    0.000    0.000    0.003    0.000 scrabble_game.py:319(__init__)
       42    0.000    0.000    0.003    0.000 scrabble_game.py:289(get_word_set)
      294    0.000    0.000    0.003    0.000 scrabble_game.py:291(<genexpr>)
       38    0.000    0.000    0.003    0.000 scrabble_game.py:41(score_move)
      252    0.001    0.000    0.003    0.000 scrabble_game.py:267(get_word_location_set)
        1    0.000    0.000    0.003    0.003 scrabble_game.py:3(<module>)
     9225    0.002    0.000    0.002    0.000 scrabble_board.py:45(__init__)
    21646    0.002    0.000    0.002    0.000 {method 'get' of 'dict' objects}
        1    0.000    0.000    0.002    0.002 random.py:37(<module>)
        1    0.000    0.000    0.002    0.002 __init__.py:97(<module>)
        1    0.000    0.000    0.002    0.002 scrabble_recover.py:196(get_move_set_notation)
        8    0.000    0.000    0.002    0.000 scrabble_game.py:380(next_player_move)
        1    0.000    0.000    0.001    0.001 hashlib.py:53(<module>)
      239    0.001    0.000    0.001    0.000 scrabble_game.py:141(all_move_tiles_connected)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:534(_check_name_wrapper)
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1708(load_module)
        2    0.001    0.001    0.001    0.001 {built-in method load_dynamic}
     3170    0.001    0.000    0.001    0.000 scrabble_board.py:68(__getitem__)
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
       13    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
        6    0.000    0.000    0.001    0.000 re.py:221(compile)
        6    0.000    0.000    0.001    0.000 re.py:277(_compile)
      115    0.000    0.000    0.001    0.000 scrabble_game.py:108(move_touches_tile)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1934(find_spec)
        6    0.000    0.000    0.001    0.000 sre_compile.py:563(compile)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
      106    0.000    0.000    0.001    0.000 scrabble_game.py:224(location_touches_tile)
    15/14    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2264(_handle_fromlist)
        1    0.000    0.000    0.001    0.001 {built-in method __import__}
       30    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:2016(find_spec)
        1    0.000    0.000    0.001    0.001 scrabble_recover.py:34(read_input_file)
     1931    0.001    0.000    0.001    0.000 scrabble_game.py:215(location_is_out_of_bounds)
        9    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1534(get_code)
        1    0.000    0.000    0.001    0.001 scrabble_recover.py:68(boards_are_equivalent)
        2    0.000    0.000    0.001    0.000 scrabble_board.py:74(__repr__)
        1    0.000    0.000    0.001    0.001 scanner.py:2(<module>)
        7    0.000    0.000    0.001    0.000 scrabble_game.py:239(get_new_tile_bag)
        7    0.000    0.000    0.001    0.000 scrabble_game.py:240(<listcomp>)
      106    0.000    0.000    0.001    0.000 scrabble_game.py:254(get_adjacent_location_set)
      231    0.000    0.000    0.001    0.000 scrabble_recover.py:59(move_is_board_subset)
        6    0.000    0.000    0.001    0.000 sre_parse.py:770(parse)
     13/6    0.000    0.000    0.000    0.000 sre_parse.py:370(_parse_sub)
     15/6    0.000    0.000    0.000    0.000 sre_parse.py:448(_parse)
        1    0.000    0.000    0.000    0.000 encoder.py:2(<module>)
      239    0.000    0.000    0.000    0.000 scrabble_game.py:197(move_is_not_out_of_bounds)
        6    0.000    0.000    0.000    0.000 sre_compile.py:548(_code)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:654(_compile_bytecode)
        9    0.000    0.000    0.000    0.000 {built-in method loads}
        7    0.000    0.000    0.000    0.000 scrabble_game.py:425(_get_new_player_rack_list)
      943    0.000    0.000    0.000    0.000 scrabble_board.py:36(__init__)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:50(_path_join)
      450    0.000    0.000    0.000    0.000 {built-in method next}
        8    0.000    0.000    0.000    0.000 scrabble_game.py:120(move_is_sublist)
       98    0.000    0.000    0.000    0.000 scrabble_game.py:438(_draw_random_tile)
     26/6    0.000    0.000    0.000    0.000 sre_compile.py:70(_compile)
        8    0.000    0.000    0.000    0.000 {built-in method sorted}
       16    0.000    0.000    0.000    0.000 __init__.py:448(__init__)
      106    0.000    0.000    0.000    0.000 scrabble_game.py:262(<genexpr>)
      452    0.000    0.000    0.000    0.000 scrabble_board.py:76(<genexpr>)
        1    0.000    0.000    0.000    0.000 random.py:84(__init__)
        8    0.000    0.000    0.000    0.000 {built-in method __build_class__}
        1    0.000    0.000    0.000    0.000 random.py:93(seed)
      286    0.000    0.000    0.000    0.000 scrabble_game.py:250(<lambda>)
       16    0.000    0.000    0.000    0.000 __init__.py:517(update)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1099(create)
      115    0.000    0.000    0.000    0.000 scrabble_game.py:130(move_does_not_cover_tiles)
      178    0.000    0.000    0.000    0.000 {built-in method isinstance}
        1    0.000    0.000    0.000    0.000 {built-in method urandom}
      222    0.000    0.000    0.000    0.000 scrabble_game.py:252(<lambda>)
        8    0.000    0.000    0.000    0.000 scrabble_recover.py:54(get_all_board_tiles)
      392    0.000    0.000    0.000    0.000 scrabble_game.py:53(increment_letter)
      180    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:52(<listcomp>)
     1219    0.000    0.000    0.000    0.000 {method 'add' of 'set' objects}
       98    0.000    0.000    0.000    0.000 random.py:170(randrange)
       98    0.000    0.000    0.000    0.000 scrabble_recover.py:55(<genexpr>)
        1    0.000    0.000    0.000    0.000 scrabble_recover.py:24(load_file)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1019(init_module_attrs)
       14    0.000    0.000    0.000    0.000 sre_compile.py:227(_compile_charset)
       55    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:68(_path_stat)
       16    0.000    0.000    0.000    0.000 abc.py:178(__instancecheck__)
     1187    0.000    0.000    0.000    0.000 {built-in method chr}
      328    0.000    0.000    0.000    0.000 scrabble_game.py:50(decrement_letter)
       55    0.000    0.000    0.000    0.000 {built-in method stat}
        6    0.000    0.000    0.000    0.000 sre_compile.py:444(_compile_info)
        1    0.000    0.000    0.000    0.000 scrabble_board.py:4(<module>)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1621(get_data)
       14    0.000    0.000    0.000    0.000 sre_compile.py:255(_optimize_charset)
      504    0.000    0.000    0.000    0.000 scrabble_game.py:244(get_next_location_function)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:261(__enter__)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:437(cache_from_source)
      114    0.000    0.000    0.000    0.000 sre_parse.py:197(__next)
      239    0.000    0.000    0.000    0.000 scrabble_game.py:190(move_is_rack_size_or_less)
      7/1    0.000    0.000    0.000    0.000 abc.py:194(__subclasscheck__)
       98    0.000    0.000    0.000    0.000 random.py:220(_randbelow)
      840    0.000    0.000    0.000    0.000 scrabble_game.py:89(<genexpr>)
       82    0.000    0.000    0.000    0.000 sre_parse.py:222(get)
       38    0.000    0.000    0.000    0.000 scrabble_game.py:296(get_word_set_total_score)
      296    0.000    0.000    0.000    0.000 {built-in method min}
        1    0.000    0.000    0.000    0.000 scrabble_board.py:35(ScrabbleTile)
      239    0.000    0.000    0.000    0.000 scrabble_game.py:142(<listcomp>)
       18    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:824(cached)
        1    0.000    0.000    0.000    0.000 {built-in method open}
      115    0.000    0.000    0.000    0.000 scrabble_game.py:183(move_does_not_stack_tiles)
      450    0.000    0.000    0.000    0.000 scrabble_board.py:50(__repr__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:599(_validate_bytecode_header)
      239    0.000    0.000    0.000    0.000 scrabble_game.py:88(<listcomp>)
      378    0.000    0.000    0.000    0.000 {method 'rstrip' of 'str' objects}
      8/2    0.000    0.000    0.000    0.000 {built-in method issubclass}
    35/15    0.000    0.000    0.000    0.000 sre_parse.py:154(getwidth)
      239    0.000    0.000    0.000    0.000 scrabble_game.py:143(<listcomp>)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:274(_get_module_lock)
       30    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1870(_path_importer_cache)
      240    0.000    0.000    0.000    0.000 {method 'join' of 'str' objects}
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:87(_path_isfile)
        8    0.000    0.000    0.000    0.000 scrabble_game.py:419(cheat_create_rack_word)
        4    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:546(_requires_builtin_wrapper)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:2011(_get_spec)
       91    0.000    0.000    0.000    0.000 sre_parse.py:144(__getitem__)
        1    0.000    0.000    0.000    0.000 config.py:1(<module>)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:78(_path_is_mode_type)
      244    0.000    0.000    0.000    0.000 {built-in method max}
        2    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1287(load_module)
        9    0.000    0.000    0.000    0.000 {method 'extend' of 'list' objects}
      185    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:518(_verbose_message)
      189    0.000    0.000    0.000    0.000 {method 'format' of 'str' objects}
      196    0.000    0.000    0.000    0.000 scrabble_game.py:246(<lambda>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:268(__exit__)
      126    0.000    0.000    0.000    0.000 scrabble_board.py:71(__setitem__)
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:739(__exit__)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:192(acquire)
       15    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:217(release)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1266(find_spec)
       32    0.000    0.000    0.000    0.000 scrabble_game.py:232(get_rack_tile_index)
        9    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
       72    0.000    0.000    0.000    0.000 {built-in method hasattr}
       32    0.000    0.000    0.000    0.000 scrabble_board.py:86(<genexpr>)
        9    0.000    0.000    0.000    0.000 {method 'read' of '_io.FileIO' objects}
       80    0.000    0.000    0.000    0.000 sre_parse.py:216(match)
       11    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:884(spec_from_file_location)
      471    0.000    0.000    0.000    0.000 {method 'append' of 'list' objects}
        9    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:1631(path_stats)
        2    0.000    0.000    0.000    0.000 {built-in method init_builtin}
       16    0.000    0.000    0.000    0.000 sre_parse.py:267(_class_escape)
       15    0.000    0.000    0.000    0.000 {built-in method any}
        1    0.000    0.000    0.000    0.000 __init__.py:271(loads)
      202    0.000    0.000    0.000    0.000 scrabble_game.py:248(<lambda>)
        1    0.000    0.000    0.000    0.000 {method 'read' of '_io.TextIOWrapper' objects}
        4    0.000    0.000    0.000    0.000 sre_compile.py:406(_mk_bitmap)
       20    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:56(_path_split)
        1    0.000    0.000    0.000    0.000 decoder.py:338(decode)
        1    0.000    0.000    0.000    0.000 config.py:141(<dictcomp>)
       13    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap>:172(__init__)
