[[[(('h', 8), '*OWDY')], [(('e', 10), 'R(A)ZE')], [(('h', 12), '(Y)IP')], [(('b', 13), 'MOV(E)')]], [[(('d', 11), 'FAME(D)')], [(('d', 8), 'CRIE(*)')], [(('i', 13), 'TIGHT'), (('j', 12), '(P)I'), (('i', 12), '(I)T')]]]

         10389856 function calls (10389703 primitive calls) in 2.728 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/1    0.000    0.000    2.728    2.728 {built-in method exec}
        1    0.000    0.000    2.728    2.728 scrabble_recover.py:1(<module>)
     15/2    0.001    0.000    2.717    1.358 scrabble_recover.py:161(get_move_set_generator)
        8    0.004    0.000    2.707    0.338 scrabble_recover.py:117(get_legal_move_set)
        8    0.000    0.000    2.616    0.327 scrabble_recover.py:72(get_all_possible_moves_set)
        8    0.701    0.088    2.615    0.327 scrabble_recover.py:10(get_combinations)
   428128    1.000    0.000    1.629    0.000 scrabble_game.py:173(move_does_not_misalign_tiles)
  2828359    0.299    0.000    0.299    0.000 scrabble_game.py:174(<genexpr>)
  2828359    0.285    0.000    0.285    0.000 scrabble_game.py:175(<genexpr>)
  2815827    0.261    0.000    0.261    0.000 scrabble_recover.py:15(<genexpr>)
1288683/1288668    0.072    0.000    0.072    0.000 {built-in method len}
     2567    0.007    0.000    0.049    0.000 scrabble_game.py:87(move_is_legal)
       91    0.000    0.000    0.031    0.000 scrabble_board.py:58(__init__)
       91    0.021    0.000    0.031    0.000 scrabble_board.py:10(initialize_new_board_square_dict)
       80    0.002    0.000    0.030    0.000 scrabble_recover.py:89(copy_board)
     2559    0.010    0.000    0.018    0.000 scrabble_game.py:141(all_move_tiles_connected)
     4996    0.004    0.000    0.012    0.000 scrabble_game.py:197(move_is_not_out_of_bounds)
    21586    0.006    0.000    0.009    0.000 scrabble_board.py:68(__getitem__)
    23139    0.009    0.000    0.009    0.000 scrabble_game.py:215(location_is_out_of_bounds)
     2552    0.004    0.000    0.008    0.000 scrabble_recover.py:60(move_is_board_subset)
     13/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:2234(_find_and_load)
     13/4    0.000    0.000    0.007    0.002 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
        8    0.000    0.000    0.007    0.001 scrabble_recover.py:106(copy_game)
    62562    0.007    0.000    0.007    0.000 {method 'get' of 'dict' objects}
