         58026381 function calls (58026226 primitive calls) in 19.950 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/1    0.000    0.000   19.950   19.950 {built-in method exec}
        1    0.000    0.000   19.950   19.950 scrabble_recover.py:1(<module>)
        1    0.000    0.000   19.943   19.943 scrabble_recover.py:164(<listcomp>)
     17/2    0.182    0.011   19.943    9.971 scrabble_recover.py:127(get_move_set_generator)
        9    1.194    0.133   19.750    2.194 scrabble_recover.py:107(get_legal_move_set)
  1428842    3.074    0.000   10.991    0.000 scrabble_game.py:87(move_is_legal)
  1428833    3.252    0.000    6.163    0.000 scrabble_recover.py:50(move_is_board_subset)
  1428842    3.561    0.000    5.813    0.000 scrabble_game.py:173(move_does_not_misalign_tiles)
  8153681    2.083    0.000    2.920    0.000 scrabble_board.py:68(__getitem__)
        9    0.000    0.000    1.359    0.151 scrabble_recover.py:62(get_all_possible_moves_set)
        9    0.409    0.045    1.358    0.151 scrabble_recover.py:10(get_combinations)
  9562765    1.101    0.000    1.101    0.000 scrabble_game.py:174(<genexpr>)
  9562765    0.987    0.000    0.987    0.000 scrabble_game.py:175(<genexpr>)
  9562765    0.970    0.000    0.970    0.000 scrabble_game.py:89(<genexpr>)
  1428842    0.949    0.000    0.949    0.000 scrabble_recover.py:11(<genexpr>)
  8206357    0.843    0.000    0.843    0.000 {method 'get' of 'dict' objects}
  1428842    0.587    0.000    0.587    0.000 scrabble_game.py:88(<listcomp>)
  1428842    0.400    0.000    0.480    0.000 scrabble_game.py:190(move_is_rack_size_or_less)
4291145/4291130    0.245    0.000    0.245    0.000 {built-in method len}
     4852    0.025    0.000    0.042    0.000 scrabble_game.py:141(all_move_tiles_connected)
      106    0.004    0.000    0.040    0.000 scrabble_recover.py:79(copy_board)
      117    0.000    0.000    0.040    0.000 scrabble_board.py:58(__init__)
      117    0.027    0.000    0.040    0.000 scrabble_board.py:10(initialize_new_board_square_dict)
     4852    0.006    0.000    0.016    0.000 scrabble_game.py:197(move_is_not_out_of_bounds)
    24880    0.011    0.000    0.011    0.000 scrabble_game.py:215(location_is_out_of_bounds)
      106    0.000    0.000    0.008    0.000 scrabble_game.py:41(score_move)
        9    0.000    0.000    0.008    0.001 scrabble_recover.py:96(copy_game)
      457    0.001    0.000    0.008    0.000 scrabble_game.py:108(move_touches_tile)
      106    0.000    0.000    0.008    0.000 scrabble_game.py:289(get_word_set)
      750    0.001    0.000    0.007    0.000 scrabble_game.py:224(location_touches_tile)
      654    0.000    0.000    0.007    0.000 scrabble_game.py:291(<genexpr>)
    26325    0.007    0.000    0.007    0.000 scrabble_board.py:45(__init__)
      548    0.003    0.000    0.007    0.000 scrabble_game.py:267(get_word_location_set)
     13/4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:2234(_find_and_load)
     13/4    0.000    0.000    0.006    0.001 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
     13/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1186(_load_unlocked)
       11    0.000    0.000    0.005    0.000 scrabble_game.py:319(__init__)
      9/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1122(_exec)
      9/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:1465(exec_module)
     14/4    0.000    0.000    0.005    0.001 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
      750    0.002    0.000    0.005    0.000 scrabble_game.py:254(get_adjacent_location_set)
     4852    0.003    0.000    0.003    0.000 scrabble_game.py:142(<listcomp>)
        1    0.000    0.000    0.003    0.003 scrabble_game.py:3(<module>)
     4909    0.002    0.000    0.002    0.000 {built-in method min}
        1    0.000    0.000    0.002    0.002 random.py:37(<module>)
        9    0.000    0.000    0.002    0.000 scrabble_game.py:380(next_player_move)
        1    0.000    0.000    0.002    0.002 __init__.py:97(<module>)
     4852    0.002    0.000    0.002    0.000 scrabble_game.py:143(<listcomp>)
      750    0.001    0.000    0.002    0.000 scrabble_game.py:262(<genexpr>)
     4857    0.002    0.000    0.002    0.000 {built-in method max}
        1    0.000    0.000    0.002    0.002 hashlib.py:53(<module>)
        4    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
       11    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:534(_check_name_wrapper)
     8971    0.001    0.000    0.001    0.000 {built-in method chr}
        2    0.000    0.000    0.001    0.001 <frozen importlib._bootstrap>:1708(load_module)
        2    0.001    0.001    0.001    0.001 {built-in method load_dynamic}
        1    0.000    0.000    0.001    0.001 decoder.py:2(<module>)
