[[[(('h', 8), '*OWDY')], [(('e', 10), 'R(A)ZE')], [(('h', 12), '(Y)IP')], [(('b', 13), 'MOV(E)')], [(('c', 6), 'GU(Y)')]], [[(('d', 11), 'FAME(D)')], [(('d', 8), 'CRIE(*)')], [(('j', 12), '(P)I'), (('i', 12), '(I)T'), (('i', 13), 'TIGHT')], [(('e', 3), 'GRAYE(R)')]]]

         53669542 function calls (53669385 primitive calls) in 13.918 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     10/1    0.000    0.000   13.918   13.918 {built-in method exec}
        1    0.000    0.000   13.918   13.918 scrabble_recover.py:1(<module>)
     19/2    0.001    0.000   13.901    6.951 scrabble_recover.py:161(get_move_set_generator)
       10    0.006    0.001   13.889    1.389 scrabble_recover.py:117(get_legal_move_set)
       10    0.001    0.000   13.735    1.374 scrabble_recover.py:72(get_all_possible_moves_set)
       10    3.685    0.368   13.734    1.373 scrabble_recover.py:10(get_combinations)
  2210665    5.261    0.000    8.566    0.000 scrabble_game.py:173(move_does_not_misalign_tiles)
 14838686    1.576    0.000    1.576    0.000 scrabble_game.py:174(<genexpr>)
 14838686    1.496    0.000    1.496    0.000 scrabble_game.py:175(<genexpr>)
 14813557    1.356    0.000    1.356    0.000 scrabble_recover.py:15(<genexpr>)
6634823/6634808    0.365    0.000    0.365    0.000 {built-in method len}
     4961    0.014    0.000    0.091    0.000 scrabble_game.py:87(move_is_legal)
      122    0.000    0.000    0.040    0.000 scrabble_board.py:58(__init__)
      122    0.027    0.000    0.040    0.000 scrabble_board.py:10(initialize_new_board_square_dict)
      109    0.003    0.000    0.039    0.000 scrabble_recover.py:89(copy_board)
     4951    0.018    0.000    0.031    0.000 scrabble_game.py:141(all_move_tiles_connected)
     9711    0.009    0.000    0.024    0.000 scrabble_game.py:197(move_is_not_out_of_bounds)
    45837    0.017    0.000    0.017    0.000 scrabble_game.py:215(location_is_out_of_bounds)
    41288    0.012    0.000    0.017    0.000 scrabble_board.py:68(__getitem__)
     4942    0.008    0.000    0.016    0.000 scrabble_recover.py:60(move_is_board_subset)
     13/4    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:2234(_find_and_load)
     13/4    0.000    0.000    0.010    0.003 <frozen importlib._bootstrap>:2207(_find_and_load_unlocked)
    96214    0.010    0.000    0.010    0.000 {method 'get' of 'dict' objects}
     13/4    0.000    0.000    0.010    0.002 <frozen importlib._bootstrap>:1186(_load_unlocked)
      9/4    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap>:1122(_exec)
      9/4    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap>:1465(exec_module)
      127    0.000    0.000    0.009    0.000 scrabble_game.py:289(get_word_set)
      118    0.000    0.000    0.009    0.000 scrabble_game.py:41(score_move)
      817    0.000    0.000    0.009    0.000 scrabble_game.py:291(<genexpr>)
     14/4    0.000    0.000    0.009    0.002 <frozen importlib._bootstrap>:313(_call_with_frames_removed)
       10    0.000    0.000    0.008    0.001 scrabble_recover.py:106(copy_game)
      690    0.004    0.000    0.008    0.000 scrabble_game.py:267(get_word_location_set)
      515    0.001    0.000    0.008    0.000 scrabble_game.py:108(move_touches_tile)
    27450    0.007    0.000    0.007    0.000 scrabble_board.py:45(__init__)
      818    0.001    0.000    0.007    0.000 scrabble_game.py:224(location_touches_tile)
       13    0.000    0.000    0.007    0.001 scrabble_game.py:319(__init__)
        1    0.000    0.000    0.004    0.004 scrabble_game.py:3(<module>)
      818    0.002    0.000    0.004    0.000 scrabble_game.py:254(get_adjacent_location_set)
        1    0.000    0.000    0.004    0.004 __init__.py:97(<module>)
       19    0.000    0.000    0.004    0.000 scrabble_game.py:380(next_player_move)
        1    0.000    0.000    0.004    0.004 random.py:37(<module>)
        1    0.000    0.000    0.003    0.003 scrabble_recover.py:197(get_move_set_notation)
    25129    0.003    0.000    0.003    0.000 scrabble_game.py:89(<genexpr>)
        1    0.000    0.000    0.003    0.003 hashlib.py:53(<module>)
        4    0.000    0.000    0.003    0.001 <frozen importlib._bootstrap>:1156(_load_backward_compatible)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:534(_check_name_wrapper)
        2    0.000    0.000    0.002    0.001 <frozen importlib._bootstrap>:1708(load_module)
        2    0.002    0.001    0.002    0.001 {built-in method load_dynamic}
        1    0.000    0.000    0.002    0.002 decoder.py:2(<module>)
       13    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:2147(_find_spec)
     4951    0.002    0.000    0.002    0.000 scrabble_game.py:142(<listcomp>)
     4961    0.002    0.000    0.002    0.000 scrabble_game.py:190(move_is_rack_size_or_less)
        6    0.000    0.000    0.002    0.000 re.py:221(compile)
        6    0.000    0.000    0.002    0.000 re.py:277(_compile)
      818    0.001    0.000    0.002    0.000 scrabble_game.py:262(<genexpr>)
        6    0.000    0.000    0.002    0.000 sre_compile.py:563(compile)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1934(find_spec)
     4951    0.002    0.000    0.002    0.000 scrabble_game.py:143(<listcomp>)
       11    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap>:1902(_get_spec)
     7696    0.002    0.000    0.002    0.000 {method 'add' of 'set' objects}
